Chip Run Info,C:\Users\Teyton Lab\Contacts\Desktop\Marie data (Mouse)\Macrophages\041118MHMacropahges1-1\ChipRun.bml,1131264279,48.48 (113x),GE 48x48 Fast PCR+Melt v2,ROX,EvaGreen,4/11/2018 8:43:59 PM,00:31:53,BIOMARKHD178
Application Version,4.0.1
Application Build,20130423.0820
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S03-A11,7wImac3,Unknown,1,MDK,Test,14.860601292084,1,Pass,0.0139966567593099,80.7721207040065,999,1,
S03-A12,7wImac3,Unknown,1,TLR4,Test,17.3057396149281,1,Pass,0.0139966567593099,79.1536192116395,999,1,
S03-A13,7wImac3,Unknown,1,CCL1,Test,999,0,Fail,0.0139966567593099,999,999,0,
S03-A14,7wImac3,Unknown,1,CD40,Test,24.8362895073184,0,Fail,0.0139966567593099,999,73.3436979429457,0,
S03-A15,7wImac3,Unknown,1,F4-80,Test,18.1199031624176,0.997689257123397,Pass,0.0139966567593099,82.0533283905327,999,1,
S03-A16,7wImac3,Unknown,1,IL6,Test,999,0,Fail,0.0139966567593099,999,999,0,
S03-A17,7wImac3,Unknown,1,PDPN,Test,999,0,Fail,0.0139966567593099,999,999,0,
S03-A18,7wImac3,Unknown,1,TPP1,Test,16.03250145166,1,Pass,0.0139966567593099,80.659753903762,999,1,
S03-A19,7wImac3,Unknown,1,CCL2,Test,19.564157203412,0,Fail,0.0139966567593099,999,85.0808821011718,0,
S03-A20,7wImac3,Unknown,1,CD74,Test,6.90052152061329,1,Pass,0.0139966567593099,80.7634686666038,999,1,
S03-A21,7wImac3,Unknown,1,FCGR3,Test,25.1876379861473,0.988446787580687,Pass,0.0139966567593099,81.5724263277683,999,1,
S03-A22,7wImac3,Unknown,1,ITGAM,Test,999,0,Fail,0.0139966567593099,999,999,0,
S03-A23,7wImac3,Unknown,1,PROX1,Test,999,0,Fail,0.0139966567593099,999,999,0,
S03-A24,7wImac3,Unknown,1,VEGFC,Test,999,0,Fail,0.0139966567593099,999,999,0,
S03-A25,7wImac3,Unknown,1,CCL21A,Test,15.6872620498649,1,Pass,0.0139966567593099,78.0795699300412,999,1,
S03-A26,7wImac3,Unknown,1,CD80,Test,999,0,Fail,0.0139966567593099,999,999,0,
S03-A27,7wImac3,Unknown,1,VEGF-R3,Test,999,0,Fail,0.0139966567593099,999,999,0,
S03-A28,7wImac3,Unknown,1,ITGAX,Test,13.7429328502877,1,Pass,0.0139966567593099,80.2116386566162,999,1,
S03-A29,7wImac3,Unknown,1,S1PR1,Test,15.5097725497379,1,Pass,0.0139966567593099,86.2237383457985,999,1,
S03-A30,7wImac3,Unknown,1,XCR1,Test,999,0,Fail,0.0139966567593099,999,999,0,
S03-A31,7wImac3,Unknown,1,CCL22,Test,999,0,Fail,0.0139966567593099,999,999,0,
