Chip Run Info,C:\Users\Teyton Lab\Contacts\Desktop\Marie data (Mouse)\Macrophages\062618MHMacrophages3-2\ChipRun.bml,1131264280,48.48 (113x),GE 48x48 Fast PCR+Melt v2,ROX,EvaGreen,6/25/2018 8:50:24 PM,00:30:45,BIOMARKHD178
Application Version,4.0.1
Application Build,20130423.0820
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S47-A10,7wM6mac30,Unknown,1,IL1B,Test,10.7154163497752,1,Pass,0.0141259454859772,79.4341684648366,999,1,
S47-A11,7wM6mac30,Unknown,1,MDK,Test,15.9698864854537,1,Pass,0.0141259454859772,80.8067621901958,999,1,
S47-A12,7wM6mac30,Unknown,1,TLR4,Test,18.6387692957271,1,Pass,0.0141259454859772,78.9945567703678,999,1,
S47-A13,7wM6mac30,Unknown,1,CCL1,Test,999,0,Fail,0.0141259454859772,999,999,0,
S47-A14,7wM6mac30,Unknown,1,CD40,Test,16.6931736354995,1,Pass,0.0141259454859772,81.9878335015671,999,1,
S47-A15,7wM6mac30,Unknown,1,F4-80,Test,24.8102527456814,0.99553118829762,Pass,0.0141259454859772,81.9926518645763,999,1,
S47-A16,7wM6mac30,Unknown,1,IL6,Test,999,0,Fail,0.0141259454859772,999,999,0,
S47-A17,7wM6mac30,Unknown,1,PDPN,Test,999,0,Fail,0.0141259454859772,999,999,0,
S47-A18,7wM6mac30,Unknown,1,TPP1,Test,18.2802461053193,1,Pass,0.0141259454859772,80.380513253955,999,1,
S47-A19,7wM6mac30,Unknown,1,CCL2,Test,999,0,Fail,0.0141259454859772,999,999,0,
S47-A20,7wM6mac30,Unknown,1,CD74,Test,8.93712172280516,1,Pass,0.0141259454859772,80.6196054920857,999,1,
S47-A21,7wM6mac30,Unknown,1,FCGR3,Test,23.2948527860919,0.972165578487521,Pass,0.0141259454859772,81.2598009742128,999,1,
S47-A22,7wM6mac30,Unknown,1,ITGAM,Test,14.5456523533476,1,Pass,0.0141259454859772,80.330821882801,999,1,
S47-A23,7wM6mac30,Unknown,1,PROX1,Test,999,0,Fail,0.0141259454859772,999,999,0,
S47-A24,7wM6mac30,Unknown,1,VEGFC,Test,999,0,Fail,0.0141259454859772,999,999,0,
S47-A25,7wM6mac30,Unknown,1,CCL21A,Test,16.3486559699793,1,Pass,0.0141259454859772,77.9773173445774,999,1,
S47-A26,7wM6mac30,Unknown,1,CD80,Test,999,0,Fail,0.0141259454859772,999,999,0,
S47-A27,7wM6mac30,Unknown,1,VEGF-R3,Test,999,0,Fail,0.0141259454859772,999,999,0,
S47-A28,7wM6mac30,Unknown,1,ITGAX,Test,14.5119679694227,1,Pass,0.0141259454859772,80.1140390035015,999,1,
S47-A29,7wM6mac30,Unknown,1,S1PR1,Test,999,0,Fail,0.0141259454859772,999,999,0,
S47-A30,7wM6mac30,Unknown,1,XCR1,Test,999,0,Fail,0.0141259454859772,999,999,0,
