Chip Run Info,C:\Users\Teyton Lab\Contacts\Desktop\Marie data (Mouse)\Macrophages\042518MHMacrophage1-2\ChipRun.bml,1131264276,48.48 (113x),GE 48x48 Fast PCR+Melt v2,ROX,EvaGreen,4/24/2018 8:52:07 PM,00:30:44,BIOMARKHD178
Application Version,4.0.1
Application Build,20130423.0820
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S47-A08,7wImac95,Unknown,1,PDL1,Test,999,0,Fail,0.00565095684104357,999,999,0,
S47-A09,7wImac95,Unknown,1,CXCL9,Test,28.8628297101616,0,Fail,0.00565095684104357,999,999,0,
S47-A10,7wImac95,Unknown,1,IL1B,Test,13.4029463447447,1,Pass,0.00565095684104357,79.6428666903949,999,1,
S47-A11,7wImac95,Unknown,1,MDK,Test,16.0619994415787,1,Pass,0.00565095684104357,80.4761064449653,999,1,
S47-A12,7wImac95,Unknown,1,TLR4,Test,20.8830174031832,0.984609885027665,Pass,0.00565095684104357,79.2195859597299,999,1,
S47-A13,7wImac95,Unknown,1,CCL1,Test,999,0,Fail,0.00565095684104357,999,999,0,
S47-A14,7wImac95,Unknown,1,CD40,Test,999,0,Fail,0.00565095684104357,999,999,0,
S47-A15,7wImac95,Unknown,1,F4-80,Test,24.0212058888644,0.688729439402454,Pass,0.00565095684104357,82.0247204056341,999,1,
S47-A16,7wImac95,Unknown,1,IL6,Test,999,0,Fail,0.00565095684104357,999,999,0,
S47-A17,7wImac95,Unknown,1,PDPN,Test,999,0,Fail,0.00565095684104357,999,999,0,
S47-A18,7wImac95,Unknown,1,TPP1,Test,16.8255380075455,0.956718798165346,Pass,0.00565095684104357,80.3701344850808,999,1,
S47-A19,7wImac95,Unknown,1,CCL2,Test,21.2727363249078,0,Fail,0.00565095684104357,999,85.0476319284798,0,
S47-A20,7wImac95,Unknown,1,CD74,Test,8.50521215091953,1,Pass,0.00565095684104357,80.6357552629437,999,1,
S47-A21,7wImac95,Unknown,1,FCGR3,Test,999,0,Fail,0.00565095684104357,999,999,0,
S47-A22,7wImac95,Unknown,1,ITGAM,Test,15.0978890211267,1,Pass,0.00565095684104357,80.3235051795153,999,1,
S47-A23,7wImac95,Unknown,1,PROX1,Test,999,0,Fail,0.00565095684104357,999,999,0,
S47-A24,7wImac95,Unknown,1,VEGFC,Test,999,0,Fail,0.00565095684104357,999,999,0,
S47-A25,7wImac95,Unknown,1,CCL21A,Test,16.9620125201267,0.982049107086067,Pass,0.00565095684104357,77.9632412425654,999,1,
S47-A26,7wImac95,Unknown,1,CD80,Test,20.0170294922909,0.93177695368036,Pass,0.00565095684104357,79.0299266107026,999,1,
S47-A27,7wImac95,Unknown,1,VEGF-R3,Test,999,0,Fail,0.00565095684104357,999,999,0,
